Roman,Devanagari,Tamil,Telugu,Malayalam
a,अ,அ,అ,അ
A,आ,ஆ,ఆ,ആ
i,इ,இ,ఇ,ഇ
I,ई,ஈ,ఈ,ഈ
u,उ,உ,ఉ,ഉ
U,ऊ,ஊ,ఊ,ഊ
f,ऋ,ഫ്‌,ఋ,ഋ
F,ॠ,ഃ,ౠ,ൠ
x,ऌ,,ఌ,ഌ
X,ॡ,ഃ,ౡ,ൡ
e,ए,ஏ,ఏ,ഏ
Z,ऴ्,எ,ఎ,എ
E,ऐ,ஐ,ఐ,ഐ
o,ओ,ஓ,ఓ,ഓ
$,,ஒ,ఒ,ഒ
O,औ,ஔ,ఔ,ഔ
k,क,க,క,ക
K,ख,ஃ,ఖ,ഖ
g,ग,,గ,ഗ
G,घ,,ఘ,ഘ
N,ङ,ங,ఙ,ങ
c,च,ச,చ,ച
C,छ,C,ఛ,ഛ
j,ज,ஜ,జ,ജ
J,झ,ഞ്‌,ఝ,ഝ
Y,ञ,ஞ,ఞ,ഞ
w,ट,டട്,ట,ട
W,ठ,,ఠ,ഠ
q,ड,ക്‌,డ,ഡ
Q,ढ,ன,ఢ,ഢ
R,ण,ண,ణ,ണ
t,त,த,త,ത
T,थ,ട്‌,థ,ഥ
d,द,ദ്‌,ద,ദ
D,ध,ഡ്‌,ధ,ധ
n,न,ந,న,ന
p,प,പ്‌,ప,പ
P,फ,,ఫ,ഫ
b,ब,ബ്‌,బ,ബ
B,भ,ற,భ,ഭ
m,म,ம,మ,മ
y,य,ய,య,യ
r,र,ர,ర,ര
l,ल,ல,ల,ല
v,व,வ,వ,വ
S,श,ஶ,శ,ശ
z,ष,ஷ,ష,ഷ
s,स,ஸ,స,സ
h,ह,ஹ,హ,ഹ
L,ळ,ள,ళ,ള
H,ः,ஃ,ః,ഃ
M,ं,ം,ం,ം
M,ँ,ഁ,ఀ,ഁ 
M,ఁ,, ఁ,
',ऽ,,,
#,,,,റ
&,,ழ,,ഴ
